Country,Company,BaseRate,Inflation,GDP,RegulationScore,LoanAmount,LoanTerm,LoanRate
Germany,AutoGmbH,3.8664,1.5201,3.745,8.4237,3660711,19,10.15
Germany,EnergySolutions,6.8327,2.7179,1.863,8.6617,2422016,22,5.62
Canada,AgriTech,3.5579,2.9218,3.2284,5.0754,3209310,16,5.22
UK,RetailWorld,4.2242,4.9714,1.9285,7.1227,4634060,8,8.62
Japan,AutoGmbH,8.6924,2.0795,1.4819,9.1825,279843,17,9.0
Japan,HealthPlus,6.993,4.6414,4.46,5.0573,3037561,23,2.08
China,TechCorp,2.3403,0.5786,2.1501,7.0409,1909440,13,5.27
Australia,HealthPlus,8.3056,2.4843,4.5772,6.8999,8824698,18,8.95
France,ElectronicsInc,9.6223,4.887,2.3238,8.6188,6731620,12,5.66
Germany,ElectronicsInc,5.417,1.0419,3.1753,7.1116,8933056,14,8.36
Canada,AutoGmbH,5.6574,3.5443,0.6532,9.3284,5181643,20,11.0
China,HealthPlus,8.8073,0.9359,2.7507,5.5944,3244273,19,10.11
China,LogisticsHub,6.2602,1.4035,0.6366,9.3615,6619897,17,9.2
Canada,HealthPlus,2.4712,2.4445,2.4798,6.6103,2998110,21,2.4
Australia,FinanceCo,3.8084,1.0457,3.3465,9.6763,378397,5,11.19
Brazil,ElectronicsInc,2.797,0.8773,1.6655,7.5584,1732382,19,8.9
Australia,AutoGmbH,1.0715,4.3569,4.239,5.9188,8681963,19,2.97
China,LogisticsHub,3.6757,0.7593,1.95,9.7415,9589461,15,5.6
Germany,TechCorp,2.3215,4.4388,4.6233,7.3241,9336865,22,6.78
Australia,LogisticsHub,9.1817,2.6816,3.711,6.4498,2765819,15,8.38
USA,AutoGmbH,8.9943,0.7126,2.8778,5.0168,2432097,12,10.0
France,FinanceCo,6.0468,3.507,4.2051,7.4266,2140032,17,4.49
France,AgriTech,1.4993,1.4655,1.06,6.4281,6265350,16,11.27
France,ElectronicsInc,2.4853,4.812,1.2712,7.8303,1339270,15,6.86
Canada,LogisticsHub,9.7815,4.0364,4.9418,8.2188,9234701,15,3.66
Brazil,TechCorp,7.5555,2.4351,1.3494,9.283,2112493,10,9.16
Germany,AutoGmbH,3.014,3.251,1.6241,6.3944,3740674,25,6.56
China,EnergySolutions,9.3333,2.8664,2.9151,5.8292,3473438,12,4.97
UK,PharmaCare,4.9038,0.8342,3.2529,8.5779,2244371,6,4.83
USA,FinanceCo,9.9729,1.8156,4.5312,9.0183,7071345,8,4.33
Japan,RetailWorld,8.0511,3.8655,3.3737,5.0072,3168976,7,9.41
Germany,AgriTech,2.5065,3.5435,4.068,8.6174,5621687,6,10.08
China,AgriTech,6.7548,2.3077,2.9031,7.8635,5764707,10,3.21
India,RetailWorld,9.2017,3.5255,1.7977,6.6993,2813220,23,6.58
China,AgriTech,2.4915,0.9179,4.8661,7.0861,6533037,18,4.01
Germany,PharmaCare,6.9325,2.2249,2.6474,6.2744,3117024,8,10.06
USA,PharmaCare,5.1513,3.5166,3.6266,6.1994,4386228,5,2.88
France,TechCorp,9.9551,0.8004,2.735,6.8113,373476,23,9.15
Germany,HealthPlus,9.4028,3.6519,1.9433,6.0926,9473126,11,6.27
Brazil,LogisticsHub,6.9073,2.916,2.4229,9.0709,8569163,15,8.96
USA,LogisticsHub,3.2452,1.5334,0.9358,6.3768,6774935,22,2.75
Brazil,LogisticsHub,5.0403,3.9921,3.4274,8.8267,4865084,13,11.55
India,AgriTech,8.0393,3.6146,0.6457,8.7491,4670486,19,11.77
UK,AutoGmbH,9.3665,2.7551,1.2131,6.6661,4069054,24,6.22
UK,HealthPlus,3.2396,2.7428,0.5716,9.6971,8162639,17,5.04
China,AgriTech,1.2593,1.2824,0.8195,5.3758,1453082,7,4.16
Australia,ElectronicsInc,7.2467,0.898,2.2367,9.7861,6650086,24,11.46
Brazil,TechCorp,1.3707,1.9549,4.7862,8.5879,8886584,10,6.63
Japan,AgriTech,3.8671,1.7682,3.025,9.5106,8117417,11,5.84
China,AutoGmbH,8.3556,4.8416,4.2442,6.4932,4938198,19,5.85
Australia,PharmaCare,6.4563,2.3601,2.2353,9.411,3161114,17,10.14
India,TechCorp,8.133,0.8684,2.0567,7.2098,5385778,13,3.11
Canada,EnergySolutions,8.5404,4.4428,3.6299,5.7884,1946253,11,8.91
Germany,AgriTech,3.1555,1.6224,4.7004,5.0921,5201568,23,3.98
Australia,AgriTech,8.2603,3.8417,1.8424,7.9338,997359,10,3.16
Australia,ElectronicsInc,1.4676,1.9761,4.2049,6.9015,1111567,19,3.31
India,AgriTech,9.5838,0.7582,2.4145,5.1904,9229176,5,5.1
Canada,HealthPlus,2.2548,0.8625,4.0551,9.281,8845694,21,8.26
UK,EnergySolutions,8.6208,2.3615,1.1477,7.8835,1654636,24,5.59
Australia,AutoGmbH,8.4314,2.8761,3.0205,6.1504,3581064,16,10.71
USA,PharmaCare,5.353,3.5465,2.2441,7.0736,7012912,24,5.61
Canada,FinanceCo,5.8684,4.04,3.2512,8.7466,785466,20,10.52
France,PharmaCare,2.5721,3.7258,0.774,8.4199,4198009,14,6.65
France,TechCorp,7.5538,2.0063,1.1908,6.2609,6622015,17,10.75
UK,ElectronicsInc,6.9773,1.1527,3.8682,6.8432,9147222,18,4.05
Australia,AutoGmbH,1.3297,3.0126,4.9956,5.5566,6349851,17,4.36
Australia,FinanceCo,3.3197,2.0925,4.0314,8.7074,3883510,15,5.08
Canada,AutoGmbH,8.7623,3.9481,4.689,6.7994,8001156,6,7.24
UK,RetailWorld,6.8768,1.0926,1.3305,8.0274,6027275,13,10.0
USA,PharmaCare,9.7556,0.5678,3.3751,7.6291,1211181,22,9.79
USA,TechCorp,9.8698,2.8716,3.3822,8.7712,828344,16,7.28
China,PharmaCare,8.5864,2.3584,4.7408,6.4052,5661702,12,6.7
UK,RetailWorld,3.3838,1.916,4.8417,9.1388,4595039,13,4.42
France,RetailWorld,7.1704,3.9424,1.9882,5.4941,8815587,17,8.45
USA,RetailWorld,5.139,0.7473,3.2515,9.7613,1438383,6,6.13
Canada,TechCorp,5.0073,1.8685,4.0508,9.8325,8392756,11,5.1
UK,EnergySolutions,4.4847,3.7662,3.2295,7.0639,9955951,10,7.34
UK,AutoGmbH,3.5726,2.2257,4.6662,7.6438,8410188,11,10.26
France,LogisticsHub,3.5332,4.6218,4.3488,8.8992,7171805,13,7.55
Brazil,PharmaCare,9.9771,2.29,2.8945,6.9367,178201,8,6.58
Brazil,ElectronicsInc,2.1394,0.6142,2.8376,5.8133,5865945,10,8.42
Canada,PharmaCare,7.8452,2.0075,2.8595,5.7635,1337486,22,11.17
Germany,FinanceCo,1.4848,2.7305,3.1337,6.8533,4345383,15,2.15
Japan,HealthPlus,4.5279,2.5472,0.7969,7.952,8517287,19,8.25
Germany,RetailWorld,4.0318,4.3365,0.814,6.8386,1393201,20,7.8
China,AutoGmbH,6.9687,3.9942,1.0717,8.6458,2113640,11,2.9
USA,AutoGmbH,2.8645,3.8622,1.2075,6.5354,9932579,11,11.67
France,ElectronicsInc,1.9732,3.6813,1.8829,9.9145,5853360,19,4.52
Australia,TechCorp,3.4514,1.6223,2.11,5.7732,2090729,19,9.37
Germany,RetailWorld,6.2122,2.0468,2.4802,8.3669,5094382,20,8.14
UK,RetailWorld,3.5897,0.5022,2.9206,8.6532,5142630,22,11.63
India,AutoGmbH,3.7902,1.1749,2.7554,6.465,2193151,8,3.06
France,ElectronicsInc,1.3481,3.7823,2.6517,7.506,4439365,6,2.05
Brazil,ElectronicsInc,5.5405,1.0654,4.1192,5.6023,9443982,20,9.53
France,RetailWorld,7.1821,4.1856,2.4392,6.262,7967814,18,3.61
Brazil,AutoGmbH,9.1531,1.9993,4.5948,7.5699,8091339,14,11.07
China,RetailWorld,9.3059,4.9063,1.7671,5.076,9704099,20,5.64
Germany,PharmaCare,4.6989,1.6412,1.9522,7.0182,8021044,16,5.26
China,AgriTech,5.6598,1.1981,2.2334,9.2692,1361071,23,9.38
Canada,AutoGmbH,2.7857,4.0121,1.5845,6.088,9259585,18,4.83
Japan,PharmaCare,2.6467,1.1904,2.5229,6.3973,3482873,19,3.24
Australia,TechCorp,1.0703,3.2877,2.1027,6.7278,2823615,15,3.59
Japan,HealthPlus,1.8125,2.911,1.4182,5.9956,2624135,9,9.41
UK,AgriTech,6.7191,1.8978,3.4162,8.1462,138578,16,4.53
France,AutoGmbH,9.4037,4.3,4.8513,8.1397,8599374,17,5.76
Australia,HealthPlus,7.3328,0.7777,4.3594,8.9107,6704043,16,8.98
China,TechCorp,2.6005,3.7307,1.9582,5.3333,7667209,24,9.23
USA,ElectronicsInc,7.8269,3.6458,4.5496,6.3842,9916039,6,2.89
Germany,TechCorp,8.4179,0.6292,2.1074,7.5366,5344392,21,10.49
USA,EnergySolutions,7.9769,3.2778,2.6831,8.0921,9131087,20,5.11
China,AutoGmbH,6.8153,1.8237,3.752,6.7404,3709110,17,7.9
Australia,PharmaCare,2.8592,4.9485,2.0228,8.7451,4483645,11,3.08
